Soil_Type,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Previous_Crop,Region,Fertilizer_Used_Last_Season,Yield_Last_Season
3,-0.18412321493600628,1.5947322908574133,1.0419740634316557,0.4576365570789871,-0.8134984315731514,0.12587287407607917,-0.4704264767010059,1.1117457508656603,-1.2625232129205133,-1.2856141270081702,2,2,0,3,4,2,1.5643166098098418,-0.4829437311632172
0,-0.3741580240768197,1.0862892501398302,-1.505230054449454,-1.5561787061642314,0.2548673541957541,-1.5499970888724852,0.6304001789028693,-0.4235544072796347,-0.5270107955741395,-0.9298950944947378,0,0,0,2,2,3,0.5881966662851918,0.7330606277338599
2,-0.7887794258385928,-1.5280652116126543,-0.5935991069972675,1.1447029410090261,-0.8880355794174936,-0.47572147159776446,-1.4139921815043275,-0.25785786190999155,-1.6414757464479188,-0.8086096425506473,4,0,2,3,1,3,0.2827282182904053,-0.34340224735535574
0,0.1613946198654712,0.08466339639332224,-1.2639159801238753,-0.15835399403070327,-1.4346413302760033,-0.47572147159776446,-1.130922470063331,-0.8105659188422978,-0.15781916063759133,0.5045724190781244,6,2,0,0,6,0,-0.7262140686305236,0.6084700171911266
2,-0.6851240753981493,-0.9225116310581519,0.18396846582959772,0.279946975028115,-0.14266410097407117,-0.8194896691256751,-1.0994702799032203,-1.7294285795285012,1.2603819875634568,0.6177451317617404,2,2,2,3,4,2,0.24576860471812442,-0.01946665994424917
1,0.8697061812085012,-1.1146517705926275,1.4173515123825564,0.9196294704112548,-1.335258466483547,-0.8194896691256751,-1.225279040543663,0.15232799166241182,-0.590743721667385,-0.371972181928575,1,3,1,1,2,1,-1.545393563478845,-0.4729764823197985
0,-0.3655200782067822,-0.0339501915503432,-1.3979793547491965,0.3865607242586384,-0.6892698518325809,-0.21789532345183146,0.6304001789028693,-0.6008381236541482,1.3407658583116946,0.1294688565438313,0,1,0,0,6,3,1.6753333595325515,-1.6690463435300382
3,0.36870532074635815,0.24350849369799685,1.0419740634316557,-0.03989427266345503,-1.2358756026910906,1.5439166888787106,0.06426075602087632,1.5091857163327065,0.02936042410473315,-1.4513598485054964,2,1,2,3,2,3,-0.08066201216840385,0.3194198007319853
2,0.15275667399543444,0.1505598341398032,-1.5320427293745182,0.4339446128055375,1.124467412379747,0.7274672197499228,1.5739658837061907,1.0456988761379002,0.19931489368672117,0.552904677823859,4,1,1,1,6,2,0.11516877616233986,0.21476368787608935
1,0.7314990472879099,1.141780987189498,0.26440649060479043,1.6303877986147437,-0.16750981692218525,1.4579746394967328,0.44168703794220493,-0.7236621363057717,-0.7865358639898781,1.253488881082544,1,2,2,2,1,3,0.47193937433954614,1.226439445483084
1,-0.9010727221490731,1.2333423533214503,-1.2102906302737466,0.09041142084051805,-1.285567034587319,-1.1202868419625969,1.448157123065748,1.703850189214525,-1.2539106553403452,-0.7459571698072572,6,2,1,2,2,3,-1.6715803038468944,-1.7188825877471317
